institution_code,institution_name,city,state,latitude,longitude,zip_code
1392,Monmouth Medical Ctr,Long Branch,NJ,40.303689,-73.993386,07740
1393,Mountainside Hosp,Montclair,NJ,40.815094,-74.2191,07042
1394,Morristown Mem Hosp,Morristown,NJ,40.426391,-74.257514,07747
1395,Jersey Shore Univ Med Ctr,Neptune,NJ,40.224174,-74.045388,07753
1396,St Barnabas Med Ctr,Livingston,NJ,40.795884,-74.315387,07039
1397,Newark Beth Israel Med Ctr,Newark,NJ,40.733183,-74.1735,07102
1398,Rutgers-New Jersey Medical School,Newark,NJ,40.733183,-74.1735,07102
1400,St Joseph Mercy-Livingston,Howell,MI,42.607156,-83.929591,48843
1403,Naval Med Ctr-San Diego,San Diego,CA,32.713623,-117.16016,92101
1404,East Jefferson Gen Hosp,Metairie,LA,29.989295,-90.150398,70001
1405,St Joseph Hosp,Chicago,IL,41.881953,-87.632362,60602
1406,St Josephs Univ Med Ctr,Paterson,NJ,40.916294,-74.173235,07505
1408,Overlook Hospital,Summit,NJ,40.711952,-74.34894,07901
1409,NYP Hosp-Columbia & Cornell,New York,NY,40.712749,-74.005994,10007
1410,Naval Med Ctr-Portsmouth,Portsmouth,VA,36.835361,-76.297922,23704
1414,Albany Med Ctr,Albany,NY,42.68393,-73.780624,12205
1415,Leonard J Chabert Med Ctr,Houma,LA,29.597596,-90.720783,70360
1417,Zucker SOMÐNorthwell Southside Hosp,Bay Shore,NY,40.72239,-73.246838,11706
1418,St Mary Mercy Hospital,Livonia,MI,42.368709,-83.352462,48150
1419,Brookdale Hosp Med Ctr,Brooklyn,NY,40.738186,-73.97414,10010
1420,Brooklyn Hosp Ctr,Brooklyn,NY,40.6526,-73.949700000000007,11226
1421,Our Lady of the Lake Reg Med Ctr,Baton Rouge,LA,30.447224,-91.186948,70801
1422,Coney Island Hospital,Brooklyn,NY,40.575573,-73.98122,11224
1425,Interfaith Med Ctr,Brooklyn,NY,40.738186,-73.97414,10010
1426,SUNY HSC Brooklyn,Brooklyn,NY,40.653241,-73.94403,11203
1427,Long Island Coll Hosp,Brooklyn,NY,40.6526,-73.949700000000007,11226
1428,Maimonides Med Ctr,Brooklyn,NY,40.738186,-73.97414,10010
1429,NYP Brooklyn Methodist Hosp,Brooklyn,NY,40.6526,-73.949700000000007,11226
1430,Lutheran Medical Ctr,Brooklyn,NY,40.738186,-73.97414,10010
1435,Wyckoff Heights Med Ctr,Brooklyn,NY,40.738186,-73.97414,10010
1442,Bassett Medical Center,Cooperstown,NY,42.701023,-74.926814,13326
1443,NYMC-Westchester/Metropolitan,New York,NY,40.839207,-73.858766,10462
1444,Valley Consortium,Modesto,CA,37.640516,-121.000321,95354
1445,Flushing Hospital Med Ctr,Flushing,NY,40.765358,-73.81732,11354
1446,North Shore-LIJ-Glen Cove Hosp,Glen Cove,NY,40.863017,-73.630885,11542
1448,Nassau Univ Med Ctr,East Meadow,NY,40.714167,-73.559518,11554
1449,Jamaica Hosp Med Ctr,Jamaica,NY,40.70547,-73.79489,11432
1451,Hoboken Univ Med Ctr,Hoboken,NJ,40.753937,-74.02772,07030
1452,Wilson Mem Reg/UHS,Johnson City,NY,42.110638,-75.934693,13905
1453,NYMC-Phelps Memorial Hosp Ctr,Sleepy Hollow,NY,41.084228,-73.860633000000007,10591
1454,Kaiser Permanente-San Diego,San Diego,CA,32.583744,-117.09487,92154
1455,NYU Winthrop Hospital,Mineola,NY,40.749185,-73.641093,11501
1459,Einstein/Montefiore New Rochelle,New Rochelle,NY,40.911537,-73.78264,10801
1466,Memorial Sloan-Kettering,New York,NY,40.712749,-74.005994,10007
1470,Einstein/Beth Israel Med Ctr,New York,NY,40.738186,-73.97414,10010
1471,BronxCare Health System,Bronx,NY,40.847,-73.8972,10457
1473,NYMC-Metropolitan Hosp Ctr,New York,NY,40.712749,-74.005994,10007
1476,Kingsbrook Jewish Med,Brooklyn,NY,40.6526,-73.949700000000007,11226
1478,Harlem Hospital Ctr,New York,NY,40.810925,-73.94701,10027
1479,North General Hosp,New York,NY,40.712749,-74.005994,10007
1481,Larkin Community Hospital,South Miami,FL,25.769674,-80.33647,33172
1483,Zucker SOM-Northwell Lenox Hill Hosp,New York,NY,40.767815,-73.96201,10021
1484,Lincoln Med Ctr,Bronx,NY,40.738186,-73.97414,10010
1485,Eisenhower Med Ctr,Rancho Mirage,CA,33.757671,-116.435487,92260
1486,NYMC Montefiore Med Ctr-North Div,Bronx,NY,40.847,-73.8972,10457
1488,Yuma Regional Med Ctr,Yuma,AZ,32.698505,-114.59895,85365
1489,Icahn SOM-Queens Hosp,Jamaica,NY,40.70547,-73.79489,11432
1490,Icahn SOM at Mount Sinai,New York,NY,40.712749,-74.005994,10007
1491,Icahn SOM Elmhurst Hosp Ctr,Elmhurst,NY,40.74238,-73.88188,11373
1492,NYP Hosp-Weill Cornell Med Ctr,New York,NY,40.738186,-73.97414,10010
1494,Childrens Mercy Hospital,Kansas City,MO,39.098485,-94.578631,64106
1495,NYP Hosp-Columbia Univ Med Ctr,New York,NY,40.712749,-74.005994,10007
1502,Conroe Reg Med Ctr,Conroe,TX,30.284834,-95.466041,77304
1509,Rochester Gen Hosp,Rochester,NY,43.159408,-77.663133,14611
1510,Unity Health System,Rochester,NY,43.155717,-77.612534,14608
1511,U Rochester/Strong Memorial,Rochester,NY,43.121506,-77.61892,14620
1513,Ellis Hospital,Schenectady,NY,42.813498,-73.939265,12305
1514,Richmond Univ Med Ctr,Staten Island,NY,40.58337,-74.149643,10314
1515,Zucker SOM-Northwell Staten Island Univ,Staten Island,NY,40.58337,-74.149643,10314
1516,SUNY Upstate Med University,Syracuse,NY,43.02709,-76.12202,13210
1518,St Josephs-Syracuse,Syracuse,NY,43.047022,-76.147486,13202
1521,Texas Dept of State Health Services,Austin,TX,30.268072,-97.742806,78701
1522,UC Riverside SOM,Riverside,CA,33.982513,-117.374283,92501
1523,Oakwood Heritage Hospital,Taylor,MI,42.241476,-83.269507,48180
1524,University of Montana,Missoula,MT,46.872108,-113.99405,59802
1525,NYMC-St Josephs Med Ctr,Yonkers,NY,40.93932,-73.88831,10701
1527,Carolinas Med Ctr,Charlotte,NC,35.227207,-80.84309,28202
1529,Duke Univ Med Ctr,Durham,NC,35.995039,-78.900646,27701
1530,ProMedica Monroe Regional Hospital,Monroe,MI,41.914335,-83.396747,48161
1531,Shasta Community Health Ctr,Redding,CA,40.587679,-122.392282,96001
1534,New Hanover Reg Med Ctr,Wilmington,NC,34.200318,-77.931231,28401
1537,Wake Forest Baptist Med Ctr,Winston-Salem,NC,36.098406,-80.244912,27101
1538,West Kendall Baptist Hospital,Miami,FL,25.773357,-80.1919,33131
1539.0999755859375,U North Dakota SOM,Fargo,ND,46.876936,-96.787686,58102
1539.199951171875,U North Dakota SOM,Grand Forks,ND,47.924469,-97.031592,58201
1541,Summa Health/NEOMED,Akron,OH,40.991907,-81.53319,44319
1542,Akron Gen Med Ctr/NEOMED,Akron,OH,41.08399,-81.56715,44320
1544,Aultman Hospital/NEOMED,Canton,OH,40.928493,-81.41924,44720
1547,Christ Hospital,Cincinnati,OH,39.332209,-84.54466,45014
1548,U Cincinnati Med Ctr,Cincinnati,OH,39.102438,-84.513301,45202
1550,Good Samaritan Hosp-Cinn,Cincinnati,OH,39.102438,-84.513301,45202
1551,Jewish Hospital,Cincinnati,OH,39.102438,-84.513301,45202
1552,Case Western/Univ Hosps Cleveland Med Ctr,Cleveland,OH,41.501377,-81.690317,44114
1553,Case Western/MetroHealth Med Ctr,Cleveland,OH,41.501377,-81.690317,44114
1560,St Vincent Charity Med Ctr,Cleveland,OH,41.501377,-81.690317,44114
1564,Grant Medical Center,Columbus,OH,39.962232,-83.000642,43215
1565,Mount Carmel Health System,Columbus,OH,39.106106,-84.30538,45244
1566,Ohio State University Med Ctr,Columbus,OH,39.962232,-83.000642,43215
1567,Riverside Methodist,Columbus,OH,40.029532,-83.02364,43202
