institution_code,institution_name,city,state,institution_name_clean,geocode_query,latitude,longitude,id,type,place_type,relevance,text,place_name,bbox,center,context,properties.mapbox_id,properties.wikidata,geometry.type,geometry.coordinates,properties.accuracy,matching_text,matching_place_name,properties.override:postcode
1097,Waterbury Hospital,Waterbury,CT,Waterbury Hospital,"Waterbury Hospital, Waterbury, CT",41.516028,-72.987394,address.4686706638811616,Feature,,0.7,Waterbury Road,"Waterbury Road, Waterbury, Connecticut 06712, United States",,,,dXJuOm1ieGFkci1zdHI6Mjk5YTc4YTUtZDJkNS00ODk4LTk2NWEtZTYxNGFmN2Y0NTIy,NA,Point,,street,NA,NA,NA
1098,NYMC-New York Eye And Ear Infirmary,New York,NY,NYMC-New York Eye And Ear Infirmary,"NYMC-New York Eye And Ear Infirmary, New York, NY",40.712749,-74.005994,place.233720044,Feature,,1,New York,"New York, New York, United States",,,,dXJuOm1ieHBsYzpEZTVJN0E,Q60,Point,,NA,NA,NA,NA
1099,Christiana Care,Newark,DE,Christiana Care,"Christiana Care, Newark, DE",39.665295,-75.65999,neighborhood.114699500,Feature,,0.692,Christiana,"Christiana, Newark, Delaware, United States",,,,dXJuOm1ieHBsYzpCdFlzN0E,NA,Point,,NA,NA,NA,NA
1100,Altru Health System,Grand Forks,ND,Altru Health System,"Altru Health System, Grand Forks, ND",47.924469,-97.031592,place.130468076,Feature,,1,Grand Forks,"Grand Forks, North Dakota, United States",,,,dXJuOm1ieHBsYzpCOGJJN0E,Q34144,Point,,NA,NA,NA,NA
1101,U Florida COM-Jacksonville,Jacksonville,FL,University of Florida COM-Jacksonville,"University of Florida COM-Jacksonville, Jacksonville, FL",30.33128,-81.64249,neighborhood.182267116,Feature,,0.566667,East Jacksonville,"East Jacksonville, Jacksonville, Florida, United States",,,,dXJuOm1ieHBsYzpDdDBzN0E,NA,Point,,NA,NA,NA,NA
1102,Florida Hosp-Orlando,Orlando,FL,Florida Hospital-Orlando,"Florida Hospital-Orlando, Orlando, FL",28.54211,-81.379039,place.246171884,Feature,,1,Orlando,"Orlando, Florida, United States",,,,dXJuOm1ieHBsYzpEcXhJN0E,Q49233,Point,,NA,NA,NA,NA
1103,Marianjoy Rehab Hosp,Wheaton,IL,Marianjoy Rehab Hospital,"Marianjoy Rehab Hospital, Wheaton, IL",41.864846,-88.106622,place.355600620,Feature,,1,Wheaton,"Wheaton, Illinois, United States",,,,dXJuOm1ieHBsYzpGVElJN0E,Q575315,Point,,NA,NA,NA,NA
1104,Jackson Memorial Hosp,Miami,FL,Jackson Memorial Hospital,"Jackson Memorial Hospital, Miami, FL",25.762836,-80.311844,neighborhood.217746668,Feature,,0.640741,Flagami,"Flagami, Miami, Florida, United States",,,,dXJuOm1ieHBsYzpEUHFNN0E,Q2749961,Point,,NA,NA,NA,NA
1105,Mt Sinai Med Ctr-Miami,Miami Beach,FL,Mt Sinai Medical Center-Miami,"Mt Sinai Medical Center-Miami, Miami Beach, FL",25.784059,-80.131015,place.210839788,Feature,,1,Miami Beach,"Miami Beach, Florida, United States",,,,dXJuOm1ieHBsYzpESkVvN0E,Q201516,Point,,NA,NA,NA,NA
1107,Orlando Health,Orlando,FL,Orlando Health,"Orlando Health, Orlando, FL",28.54211,-81.379039,place.246171884,Feature,,1,Orlando,"Orlando, Florida, United States",,,,dXJuOm1ieHBsYzpEcXhJN0E,Q49233,Point,,NA,NA,NA,NA
